feature,importance
avg_monthly_hours,0.23857052303467197
number_project,0.22083369263509398
satisfaction_level,0.2025375768230025
last_evaluation,0.15336817768038477
tenure,0.04568837378330083
promotion_last_5y,0.03234950255751029
salary_encoded,0.024924858538338347
work_accident,0.01361228575467696
dept_support,0.01014067519152432
dept_sales,0.009382974781338238
dept_technical,0.009135545029370612
dept_product_mng,0.008376870002892322
dept_marketing,0.007580822651460586
dept_management,0.006479732794852019
dept_accounting,0.006356151352221068
dept_RandD,0.005772860920498077
dept_hr,0.004889376468862993
